CPF,Endereço do Imóvel,Tipo de Imóvel,Área do Imóvel (m²),Valor do Imóvel,Número de Quartos,Número de Banheiros,Tem Piscina?,Tem Garagem?,Tem Elevador?,Condomínio Fechado?,Valor do Condomínio,Ano de Construção,Tipo de Oferta,Data da Última Reforma
476.520.839-74,"Trecho Castro, 11
Vila Havaí
29277319 Caldeira da Prata / PR",Terreno,302,686748,2,2,Sim,Sim,Não,Não,1043,1991,Aluguel,09/12/2025
198.257.046-67,"Núcleo Henry Gabriel Cunha, 3
Boa União 2ª Seção
32294-676 Ramos Verde / DF",Apartamento,451,2164349,1,2,Sim,Sim,Sim,Sim,1507,1980,Aluguel,03/12/2023
157.304.682-53,"Praia de Costela, 87
Ribeiro De Abreu
39457-275 Camargo Grande / RJ",Apartamento,132,485100,3,5,Não,Não,Sim,Não,300,2019,Venda,17/09/2021
537.420.861-62,"Campo Gael Porto, 41
Conjunto Jardim Filadélfia
33357-997 Moreira do Oeste / AC",Terreno,112,270144,4,6,Não,Não,Não,Não,1357,1997,Aluguel,26/04/2025
796.514.038-10,"Estação Rodrigues, 3
Ouro Minas
82019463 Rocha / TO",Apartamento,68,321028,5,6,Sim,Sim,Não,Sim,1721,2011,Venda,10/06/2019
735.428.910-88,"Residencial Fogaça, 34
Eymard
94010-185 Oliveira Paulista / GO",Casa,117,331344,5,6,Não,Não,Sim,Sim,1628,1987,Aluguel,13/06/2022
105.324.876-80,"Praia de Teixeira, 52
Alpes
56356-767 Sá Alegre / SC",Terreno,258,597270,4,5,Sim,Sim,Não,Sim,267,1981,Aluguel,19/12/2022
136.502.478-44,"Aeroporto de Ribeiro, 255
Santa Branca
13963-195 da Rosa de Azevedo / SP",Casa,186,589806,2,3,Sim,Sim,Não,Sim,1082,2000,Aluguel,06/09/2022
562.714.398-37,"Distrito de Pacheco, 45
Independência
55705167 Leão / MS",Terreno,259,929292,1,1,Não,Não,Não,Não,1631,1987,Aluguel,01/12/2019
587.129.340-97,"Núcleo Monteiro, 823
Vila Real 1ª Seção
45380-100 Brito / RJ",Terreno,314,1483022,3,4,Não,Não,Sim,Sim,1538,2021,Venda,25/10/2022
840.269.731-31,"Setor Bruna Araújo, 50
Barro Preto
03875-209 da Rocha / RS",Casa,378,1780002,1,2,Sim,Sim,Não,Sim,1970,1988,Aluguel,29/12/2017
103.629.854-05,"Recanto de Fonseca
Boa União 1ª Seção
06932206 Lopes / PA",Apartamento,500,2234500,4,5,Não,Não,Sim,Sim,1986,1987,Venda,16/05/2021
205.369.781-40,"Viaduto Rodrigues, 4
Estoril
52189164 da Costa das Pedras / SE",Apartamento,494,1055184,4,4,Não,Sim,Não,Não,735,1993,Aluguel,01/03/2018
765.894.023-29,"Lagoa Gonçalves
Vila Aeroporto
35166-633 Macedo / PE",Terreno,381,1688211,3,5,Sim,Sim,Não,Não,580,1984,Aluguel,04/01/2024
852.301.794-14,"Trevo José Barros, 28
Pousada Santo Antonio
01464-532 Rocha da Serra / GO",Terreno,177,639324,4,4,Sim,Sim,Sim,Sim,511,2013,Venda,02/10/2023
741.385.269-19,"Residencial Heloisa Nascimento
Comiteco
71869-612 Sá de Minas / AC",Apartamento,178,786760,3,5,Não,Não,Não,Sim,1447,2010,Venda,04/10/2025
820.569.471-02,"Recanto Pereira, 9
Vila Aeroporto Jaraguá
42448-002 da Conceição / PE",Terreno,169,715546,3,4,Não,Sim,Sim,Não,488,1988,Venda,17/05/2025
927.158.063-02,"Morro Luiz Henrique da Rosa, 20
Conjunto Jatoba
42770-121 Aparecida Paulista / AC",Apartamento,374,968660,1,3,Não,Sim,Não,Sim,1619,1991,Venda,23/01/2020
279.350.841-14,"Quadra Marcelo Carvalho, 65
Marmiteiros
95248492 Duarte / PB",Casa,297,1130382,3,4,Não,Sim,Sim,Sim,1868,2001,Venda,08/11/2025
890.561.234-24,"Aeroporto Cardoso, 26
Marçola
55703110 Moura de Pastor / MA",Casa,315,1277955,4,4,Sim,Sim,Sim,Sim,629,1997,Venda,16/11/2019
295.301.684-89,"Estrada de Ramos, 40
Esperança
10139-048 Souza de Minas / SP",Terreno,449,1017883,2,2,Não,Sim,Sim,Sim,1439,2000,Venda,24/04/2018
986.412.375-00,"Recanto Vargas, 85
Alta Tensão 2ª Seção
84664-297 Novais de Lopes / AP",Apartamento,150,526050,4,5,Não,Não,Sim,Sim,1402,1995,Aluguel,13/04/2018
172.496.305-80,"Favela Oliver Garcia, 929
Ipiranga
73395747 Siqueira / RO",Terreno,369,1648323,3,5,Não,Sim,Não,Não,1183,2000,Venda,19/02/2017
350.897.641-66,"Lagoa Correia, 9
Guarani
56143-479 Sampaio / MS",Apartamento,280,792960,1,3,Não,Não,Não,Sim,1222,2013,Aluguel,09/05/2020
571.943.620-07,"Praia de Silva
Lourdes
04260-439 Ribeiro / PE",Casa,372,790872,2,4,Não,Sim,Não,Não,1464,1987,Aluguel,22/03/2026
961.734.520-06,"Feira de Monteiro, 2
São Bernardo
24982-685 Almeida / RN",Terreno,220,754160,1,2,Não,Não,Não,Sim,1722,2011,Aluguel,13/01/2021
079.251.846-20,"Área Peixoto, 75
Nossa Senhora Da Aparecida
28124550 Aparecida do Sul / MT",Casa,420,1948380,5,7,Sim,Sim,Não,Sim,907,2001,Venda,20/10/2017
182.640.793-69,"Avenida de Novaes
Cidade Nova
36218176 Ramos / RS",Casa,208,612352,1,2,Não,Sim,Não,Sim,1613,2001,Aluguel,27/11/2018
958.173.402-32,"Quadra de Costela, 2
Vila Nova Gameleira 1ª Seção
18663525 Cavalcante / SC",Casa,187,644402,5,5,Sim,Sim,Não,Sim,524,1986,Venda,25/05/2020
574.961.830-75,"Estação de Sá
Mariquinhas
24722693 Aragão do Amparo / PR",Casa,296,995152,3,5,Não,Não,Sim,Não,1891,1987,Aluguel,05/12/2020
165.074.283-53,"Parque Allana Araújo, 610
Acaba Mundo
62857-718 Melo de Costela / SC",Apartamento,254,762254,4,4,Sim,Sim,Sim,Sim,618,1987,Venda,21/03/2020
578.062.941-20,"Conjunto Maria Júlia Lopes, 805
Vila Sesc
19616082 da Rosa do Galho / RJ",Terreno,340,1144440,1,1,Sim,Sim,Não,Sim,1497,1995,Venda,21/02/2026
780.192.543-23,"Trecho Vitória Pires, 617
Virgínia
17849485 Caldeira / RN",Terreno,393,1574751,3,5,Não,Não,Não,Não,749,2013,Venda,22/10/2016
451.378.926-37,"Chácara Lima, 51
Jardim Leblon
85718631 da Rosa Grande / AP",Casa,448,1897280,4,6,Não,Sim,Sim,Sim,1491,2017,Aluguel,08/10/2016
829.157.430-88,"Estrada Yuri da Mata
Bernadete
32015-770 Costa / RN",Terreno,444,2125428,4,5,Sim,Sim,Sim,Não,1532,1985,Venda,17/10/2016
537.064.921-99,"Viaduto de Rocha, 72
Nova Granada
63406870 da Costa / MG",Casa,438,1414302,3,4,Sim,Sim,Não,Não,1041,2020,Aluguel,25/07/2024
542.693.180-15,"Vale Nicolas Cavalcanti, 85
Biquinhas
12299786 Rodrigues do Oeste / SP",Apartamento,192,585984,5,7,Não,Sim,Sim,Sim,1471,2007,Aluguel,17/04/2018
724.038.156-08,"Largo de Jesus, 25
Vila Paquetá
11598-699 Borges Alegre / PB",Terreno,468,1605240,5,6,Não,Não,Sim,Não,1198,2023,Venda,12/08/2017
965.814.320-24,"Distrito de Costa, 73
Antonio Ribeiro De Abreu 1ª Seção
18349-039 Martins do Galho / CE",Apartamento,471,2116674,4,5,Não,Não,Sim,Sim,1785,1985,Venda,24/02/2023
516.403.892-70,"Loteamento Juan Araújo, 3
Embaúbas
67449978 Novais da Prata / RS",Casa,476,2076312,1,3,Sim,Sim,Não,Não,958,1993,Aluguel,13/01/2018
509.341.276-70,"Favela Olívia da Conceição, 60
Tupi A
07709-005 Andrade do Campo / PA",Terreno,197,796077,5,7,Sim,Sim,Não,Não,1001,2023,Venda,06/02/2020
276.180.945-94,"Campo Nunes, 5
Vila Aeroporto Jaraguá
22796560 Oliveira / TO",Casa,462,2065140,1,3,Sim,Sim,Sim,Não,304,2010,Aluguel,21/12/2018
736.281.054-71,"Campo Matheus Sampaio, 933
Vila Santo Antônio Barroquinha
74912-479 Fernandes / DF",Terreno,162,737424,1,1,Não,Sim,Não,Não,1983,2019,Aluguel,06/02/2017
230.657.819-21,"Colônia Aparecida, 8
São Salvador
81399-722 Barbosa / ES",Casa,406,1119748,3,5,Não,Não,Não,Não,690,2007,Aluguel,24/12/2019
756.390.812-95,"Distrito Ana Beatriz da Mota, 8
Planalto
17492-045 Novais / MT",Casa,227,553880,1,2,Sim,Sim,Sim,Não,1577,1984,Aluguel,28/11/2025
286.359.071-59,"Ladeira de Guerra, 23
Alto Vera Cruz
31624-433 da Rocha / PR",Terreno,470,1205080,3,5,Sim,Sim,Sim,Não,639,2022,Aluguel,18/01/2026
763.120.895-68,"Parque Mathias Fernandes, 1
Vila Jardim Alvorada
66408527 Albuquerque do Norte / PE",Terreno,93,275931,4,4,Sim,Sim,Não,Não,1033,1992,Aluguel,28/05/2019
589.732.041-14,"Vereda Peixoto, 724
Jaqueline
93024937 Teixeira / RS",Casa,458,1318124,3,5,Não,Não,Sim,Não,1315,1993,Aluguel,22/08/2022
983.570.642-56,"Parque de Camargo, 48
Jaraguá
86729004 Fogaça do Campo / AM",Terreno,477,1549773,4,6,Não,Não,Sim,Não,1842,2005,Venda,29/02/2020
894.260.517-67,"Largo Pietro Oliveira, 80
Ouro Preto
89243-176 Lima de Minas / RO",Casa,371,996135,2,3,Sim,Sim,Sim,Sim,1337,1987,Aluguel,25/08/2019
461.807.952-58,"Viela Manuela da Luz, 15
Paquetá
67354-285 da Paz de Nunes / PA",Casa,467,1079704,4,4,Sim,Sim,Não,Não,725,1982,Venda,25/01/2018
308.621.947-50,"Praia Ramos, 24
Cônego Pinheiro 1ª Seção
22713032 da Rocha / BA",Apartamento,415,1093940,1,2,Sim,Sim,Não,Sim,1291,1997,Aluguel,12/12/2019
930.461.278-04,"Vale Ana Sophia Costela, 83
Beira Linha
13146-773 Fernandes / SE",Terreno,386,1135612,1,2,Sim,Sim,Não,Sim,1978,1996,Venda,19/03/2017
470.592.163-16,"Colônia Caio Ribeiro, 199
Laranjeiras
93746-180 Marques de Cassiano / TO",Terreno,407,1291411,5,6,Não,Não,Não,Não,652,2019,Venda,16/01/2019
723.014.568-62,"Distrito de Gomes
Vila Piratininga
90052489 Pimenta do Sul / PA",Apartamento,73,340472,2,2,Não,Não,Não,Não,734,1993,Aluguel,01/11/2024
149.382.065-60,"Esplanada Rael da Costa, 62
Buraco Quente
61883731 Alves / PR",Casa,424,1905456,1,2,Sim,Sim,Não,Não,1837,2007,Aluguel,23/12/2023
509.387.421-32,"Viaduto Erick Farias, 53
Milionario
87079734 Oliveira do Sul / MA",Terreno,251,1069260,5,6,Não,Sim,Sim,Não,250,2017,Aluguel,27/12/2024
381.604.527-80,"Avenida Maria Laura da Mata, 3
Vila Da Amizade
98269-215 Gonçalves / SC",Casa,401,1548662,4,5,Não,Não,Sim,Não,1790,2023,Venda,18/06/2016
351.069.847-93,"Residencial Alexia Andrade, 5
Vila Antena
21991-151 Castro / RO",Apartamento,471,2057328,3,5,Não,Sim,Sim,Sim,612,1986,Aluguel,16/08/2023
476.815.903-66,"Passarela Luna Câmara, 40
Vila Santa Monica 1ª Seção
72581978 da Rosa de Machado / SE",Terreno,117,397449,4,4,Sim,Sim,Sim,Sim,1302,2000,Aluguel,29/09/2020
462.035.789-83,"Esplanada da Mata, 47
Antonio Ribeiro De Abreu 1ª Seção
81778-169 Barbosa das Flores / PE",Apartamento,293,588344,2,2,Não,Não,Sim,Não,1943,2021,Venda,23/03/2021
037.682.541-35,"Pátio Cunha, 8
São Gonçalo
83701-179 Sales de Minas / TO",Casa,411,1523166,3,5,Não,Não,Não,Sim,1805,1981,Aluguel,05/06/2021
013.685.249-15,"Loteamento de Câmara, 5
Das Industrias I
96905-767 Novais / MT",Apartamento,310,709590,2,2,Não,Sim,Não,Não,1367,2019,Aluguel,16/07/2023
842.573.901-23,"Via Montenegro, 283
Vila São Francisco
03506966 Rodrigues de Cirino / PA",Terreno,97,220384,2,3,Não,Não,Não,Não,785,1993,Aluguel,21/03/2019
592.467.103-80,"Quadra de Vasconcelos, 1
Ipe
68534845 Machado / RS",Terreno,366,1342122,5,7,Sim,Sim,Não,Sim,1322,2002,Venda,07/09/2016
062.497.581-94,"Residencial de Pinto, 39
Leonina
10645-359 Marques / PB",Apartamento,448,1639680,1,3,Sim,Sim,Não,Sim,1777,2022,Aluguel,18/03/2021
654.789.321-91,"Morro Gabriel Machado
Andiroba
83232-413 Ramos / SC",Terreno,145,691070,4,6,Não,Sim,Sim,Sim,917,1990,Venda,28/01/2024
841.059.237-14,"Trecho de Rodrigues, 13
Vila União
88173938 Mendes / PR",Casa,201,942690,5,6,Sim,Sim,Sim,Não,1233,1999,Venda,01/11/2018
863.920.541-89,"Área de Costa, 5
Vila Da Ária
08264040 Gonçalves / RN",Casa,239,759303,4,5,Sim,Sim,Não,Não,934,1982,Aluguel,06/02/2019
971.428.065-67,"Avenida Almeida, 7
Estrela Do Oriente
77900-936 Cassiano de Carvalho / DF",Apartamento,232,710848,2,3,Não,Sim,Não,Não,1924,2019,Aluguel,28/07/2025
213.548.706-62,"Ladeira Ryan Pacheco
Floramar
98510245 Nunes de Ramos / MG",Casa,118,405330,1,3,Sim,Sim,Sim,Sim,1826,2020,Aluguel,13/05/2019
621.094.358-60,"Via Luiza Viana, 96
Vila Copacabana
39481391 Souza / GO",Apartamento,226,826482,4,6,Não,Não,Não,Sim,712,2007,Venda,15/12/2022
109.253.647-70,"Avenida de Moraes, 77
Bacurau
09908156 Siqueira / RJ",Casa,206,440840,2,4,Sim,Sim,Sim,Sim,1089,1988,Aluguel,26/01/2024
514.723.960-06,"Estrada Sousa
Lagoa
69630-953 Vasconcelos / RJ",Casa,164,779984,4,5,Não,Não,Sim,Não,1904,2010,Aluguel,23/09/2023
981.372.560-59,"Lagoa de Jesus, 84
Monte Azul
95360478 Cirino / MG",Casa,243,621351,5,5,Sim,Sim,Sim,Não,546,1994,Venda,21/02/2023
073.856.194-01,"Pátio de Santos
Nova Cintra
11763553 Albuquerque / MT",Apartamento,487,1758557,4,4,Não,Não,Sim,Não,254,1993,Aluguel,25/09/2016
985.671.023-59,"Praça de Siqueira, 8
Esplanada
29979-270 Abreu / AM",Apartamento,392,1361808,1,1,Sim,Sim,Não,Não,214,1985,Aluguel,28/09/2018
352.471.896-55,"Ladeira de Rios, 2
Olaria
63334120 Viana de Mendes / RO",Apartamento,77,209132,4,6,Não,Não,Sim,Não,1302,2013,Venda,30/07/2020
270.896.453-47,"Vale Juan Novais, 1
Itapoa
55342-720 Pastor / DF",Terreno,143,555698,2,2,Sim,Sim,Não,Sim,1579,2022,Venda,15/07/2021
807.143.692-50,"Pátio de Barbosa
Marieta 3ª Seção
33500-812 Novais / MS",Terreno,423,931869,2,2,Sim,Sim,Não,Não,1045,2012,Venda,03/11/2024
398.150.627-86,"Vila das Neves, 9
Jonas Veiga
01995199 Fogaça / SP",Casa,297,1176417,3,3,Sim,Sim,Sim,Não,1928,1980,Aluguel,26/09/2025
579.402.861-02,"Praça de Marques
Vila Santa Monica 1ª Seção
84251-551 Brito de Cirino / AL",Terreno,231,1024947,1,1,Não,Sim,Não,Sim,802,2006,Venda,26/05/2025
602.375.814-26,"Viaduto de Pimenta, 28
Santa Rita De Cássia
00922-126 Abreu de Barbosa / ES",Terreno,296,799792,1,1,Sim,Sim,Não,Sim,1125,1985,Aluguel,10/08/2016
614.532.087-71,"Avenida de Rocha, 28
Vila Nova Gameleira 1ª Seção
94475-182 Camargo Paulista / MS",Apartamento,153,723078,4,5,Sim,Sim,Não,Não,418,1982,Aluguel,16/08/2025
409.617.283-96,"Passarela Lucas Gabriel da Rosa
Aguas Claras
15208-609 Jesus da Prata / RR",Casa,79,303755,5,7,Não,Sim,Não,Não,1281,1987,Aluguel,03/05/2018
254.186.907-01,"Trevo de Souza, 96
Santa Sofia
54371-046 Machado / AP",Casa,115,571090,5,7,Sim,Sim,Sim,Sim,1203,2020,Venda,08/08/2020
120.635.479-80,"Quadra Fogaça, 33
Itatiaia
64665380 Fogaça do Amparo / PA",Apartamento,257,833708,1,1,Sim,Sim,Sim,Sim,518,2022,Venda,11/02/2025
860.439.752-38,"Favela Elisa Sales, 171
Vila Piratininga
56795-717 das Neves da Serra / ES",Casa,181,711692,3,3,Sim,Sim,Sim,Não,1811,2022,Venda,12/10/2023
943.051.876-39,"Condomínio Maria Cecília Melo
Frei Leopoldo
52407-117 Rios de Ramos / DF",Casa,232,1027992,1,1,Sim,Sim,Não,Sim,344,2005,Venda,08/07/2024
023.859.716-40,"Estação Pastor, 82
Grota
55344084 Vargas / GO",Casa,257,939335,3,5,Sim,Sim,Sim,Sim,207,2008,Aluguel,09/01/2025
816.095.427-11,"Estação Moura, 6
Betânia
52368798 Martins / MG",Casa,67,300294,4,5,Não,Não,Não,Sim,287,2020,Aluguel,01/11/2018
492.836.107-50,"Área Anna Liz da Cruz, 3
Vila Copacabana
40655379 Araújo de Santos / AC",Apartamento,121,301169,3,3,Sim,Sim,Sim,Não,1393,2018,Venda,23/02/2026
193.476.085-48,"Trevo Giovanna Marques, 1
Tupi B
95569188 das Neves / TO",Terreno,323,1493552,2,4,Não,Não,Não,Não,877,1997,Aluguel,01/11/2016
069.138.425-89,"Fazenda de Mendes, 879
Vila Esplanada
05886-376 Rios / AP",Terreno,457,1242583,5,5,Não,Sim,Não,Sim,772,1986,Aluguel,10/06/2021
487.569.210-20,"Favela Moura, 295
Pompéia
11472648 Cavalcanti Alegre / MT",Casa,238,959854,3,4,Não,Não,Sim,Sim,387,2004,Venda,11/01/2022
097.536.281-02,"Campo Ravy da Paz, 6
Novo Santa Cecilia
19351408 Pacheco da Prata / PI",Apartamento,229,956075,5,6,Sim,Sim,Sim,Não,508,2000,Venda,16/03/2024
108.452.793-60,"Rua de Santos, 1
Santa Inês
50071-067 Rios do Campo / SE",Casa,258,803154,3,3,Sim,Sim,Sim,Não,1719,2006,Aluguel,10/06/2016
398.407.126-40,"Travessa Nascimento, 35
Custodinha
05486-278 Dias / RN",Apartamento,338,1083290,3,3,Sim,Sim,Não,Sim,2000,2001,Aluguel,24/06/2024
062.157.849-58,"Alameda Caleb Rodrigues, 76
Nova Gameleira
63900291 Moraes / AC",Apartamento,382,1631522,5,7,Sim,Sim,Sim,Sim,910,2017,Aluguel,30/04/2020
174.580.329-79,"Lago Ana Vitória Vasconcelos, 63
Sport Club
18245-733 Martins dos Dourados / AL",Casa,389,1096591,2,3,Sim,Sim,Sim,Não,220,1993,Venda,20/11/2016
028.754.196-76,"Largo Souza, 84
Mariquinhas
62384903 Brito da Serra / SE",Apartamento,88,328328,3,5,Sim,Sim,Sim,Não,638,1991,Venda,15/09/2020
197.260.853-30,"Colônia de Novaes, 316
Lagoa
08343012 Pereira / MS",Apartamento,396,959904,1,2,Sim,Sim,Sim,Não,244,1989,Venda,13/06/2025
167.453.908-84,"Travessa Cavalcanti, 33
Vila Nova Gameleira 1ª Seção
87844-334 da Rosa / RR",Casa,494,2323776,1,3,Não,Não,Sim,Sim,329,1987,Venda,24/12/2018
865.479.301-57,"Distrito Camargo, 10
Castanheira
61490-912 Camargo / AL",Terreno,50,113650,5,5,Não,Não,Sim,Sim,1362,2021,Venda,29/04/2023
298.560.437-00,"Campo Natália Souza, 295
Maravilha
25027-565 Câmara do Norte / RO",Terreno,442,1758276,5,6,Não,Não,Não,Sim,1636,1983,Aluguel,27/04/2026
053.289.764-10,"Chácara de Cavalcante, 76
Piraja
09625265 Câmara / MS",Apartamento,206,952338,1,1,Não,Não,Não,Sim,496,2002,Aluguel,02/09/2021
967.485.201-85,"Favela de Ferreira, 48
Vitoria Da Conquista
26847294 Fogaça de Minas / MA",Terreno,276,865260,5,7,Sim,Sim,Não,Não,1480,2020,Aluguel,23/01/2024
395.476.821-64,"Praia de Santos
Madre Gertrudes
28439-465 Nunes / AC",Casa,407,1462351,5,5,Sim,Sim,Não,Não,1488,2000,Venda,23/04/2020
629.075.148-49,"Conjunto Câmara
Vila Paquetá
82368-713 Almeida de Mendonça / SE",Apartamento,248,656952,2,3,Sim,Sim,Não,Não,1247,2004,Aluguel,01/10/2022
542.306.879-74,"Jardim de Correia, 6
Ribeiro De Abreu
43435-159 Vasconcelos / RS",Terreno,156,437892,5,7,Não,Sim,Sim,Sim,452,2016,Aluguel,16/09/2021
604.239.587-47,"Chácara Matheus Alves, 36
Vila Oeste
47067969 Campos das Pedras / PE",Apartamento,137,299756,1,3,Não,Sim,Não,Sim,406,1989,Venda,06/04/2021
752.418.639-82,"Favela Pimenta, 1
São Geraldo
27625021 Brito Paulista / AM",Casa,281,581670,3,5,Não,Não,Sim,Não,1380,1983,Venda,26/04/2018
102.963.875-68,"Trecho Lara Barbosa, 79
Pongelupe
00548-485 Aragão Paulista / CE",Apartamento,421,963669,4,5,Sim,Sim,Não,Não,1021,1990,Venda,03/04/2018
659.427.380-92,"Praia de Rocha, 1
Novo Tupi
45319-702 Costela da Mata / PA",Apartamento,115,431135,3,3,Não,Sim,Sim,Não,1556,1998,Venda,29/11/2025
674.082.931-40,"Esplanada Caldeira, 2
Lagoa
80393-076 da Paz de Aragão / TO",Casa,203,607782,1,1,Sim,Sim,Não,Não,1909,2003,Aluguel,27/04/2026
618.947.253-28,"Jardim de Brito, 11
Boa União 1ª Seção
94431528 Peixoto / PB",Terreno,103,390782,5,7,Não,Sim,Sim,Sim,1972,2018,Aluguel,22/02/2021
360.524.178-62,"Núcleo de Castro, 81
Mineirão
63776-803 da Luz / AM",Terreno,232,875336,3,4,Sim,Sim,Sim,Não,1748,2004,Aluguel,06/08/2020
094.537.681-20,"Viaduto de Novais, 43
Vila Piratininga Venda Nova
87839-244 Rodrigues / SE",Casa,72,314496,5,5,Não,Sim,Não,Não,1869,1984,Venda,13/09/2021
506.327.198-77,"Parque de Almeida
Havaí
24099-536 Rocha do Galho / RR",Terreno,314,1373436,4,4,Sim,Sim,Não,Sim,1165,1981,Venda,06/05/2017
974.635.120-61,"Condomínio da Conceição, 3
Ernesto Nascimento
37227-004 Carvalho da Serra / SE",Terreno,375,1631250,3,3,Não,Não,Sim,Não,493,1986,Aluguel,16/03/2018
058.419.362-98,"Ladeira da Cunha, 165
Ouro Preto
08154607 Moreira da Serra / PA",Apartamento,110,369050,2,4,Sim,Sim,Não,Não,1786,1995,Aluguel,06/01/2018
941.307.856-48,"Avenida Sampaio, 28
Distrito Industrial Do Jatoba
82622-848 Farias de Minas / PR",Casa,308,992684,2,3,Não,Não,Não,Sim,389,2010,Aluguel,17/11/2020
570.461.938-00,"Vereda Mendes
Salgado Filho
58400319 Castro Grande / PA",Casa,469,2150834,2,2,Sim,Sim,Não,Não,1012,1993,Venda,21/12/2021
264.593.718-73,"Recanto João Guilherme Ribeiro, 51
João Alfredo
15443020 Rodrigues / RO",Terreno,330,1518000,2,4,Sim,Sim,Não,Sim,1139,2017,Aluguel,08/03/2021
041.832.679-78,"Conjunto de Gomes
Coração Eucarístico
54449543 Alves de Garcia / RJ",Apartamento,110,275000,5,7,Sim,Sim,Sim,Não,561,2023,Venda,06/08/2024
493.621.580-51,"Travessa Cassiano
Jardim Leblon
08070317 Alves de Macedo / AL",Casa,135,431865,5,5,Sim,Sim,Não,Não,1318,1995,Venda,29/03/2017
647.309.528-47,"Travessa de Rios, 615
Vila Do Pombal
11186126 Rodrigues de Mendes / AP",Casa,105,297465,3,4,Sim,Sim,Não,Não,1417,1980,Aluguel,20/04/2018
712.068.459-02,"Via Caldeira
Sport Club
51118-380 Barros do Galho / AP",Terreno,284,1280272,3,3,Não,Não,Sim,Não,472,2023,Aluguel,13/01/2024
723.461.985-28,"Alameda Agatha da Mota
Ápia
06081989 Câmara / SC",Apartamento,385,940170,4,5,Sim,Sim,Sim,Sim,1039,2015,Aluguel,07/07/2023
786.593.124-73,"Conjunto Maria da Costa, 547
Vila São Paulo
65344784 Barros Paulista / DF",Apartamento,73,236958,1,3,Sim,Sim,Sim,Não,995,1992,Aluguel,31/01/2024
048.162.975-02,"Avenida Gael Henrique Guerra, 969
Bonsucesso
37977-162 Cardoso / RO",Casa,221,683553,1,1,Sim,Sim,Não,Sim,665,2002,Aluguel,24/01/2023
048.579.263-00,"Via Pimenta, 601
Tupi A
53538-172 Azevedo / AP",Casa,299,925704,5,6,Sim,Sim,Não,Não,1038,2011,Aluguel,18/02/2018
916.284.705-85,"Trecho de Oliveira
Vila Nova Dos Milionarios
35927174 Nascimento dos Dourados / AL",Terreno,192,915264,4,6,Não,Sim,Não,Sim,1830,2007,Aluguel,19/09/2022
049.637.281-50,"Parque Ribeiro, 84
São Jorge 1ª Seção
50048934 Azevedo de Cirino / GO",Casa,336,1522416,5,5,Sim,Sim,Não,Não,433,2006,Venda,02/02/2018
986.704.213-13,"Feira Cardoso, 13
Alto Das Antenas
17601-040 Pastor / ES",Casa,116,312852,4,5,Não,Sim,Não,Não,1925,1991,Venda,30/12/2022
085.497.261-76,"Praia Felipe Santos, 16
Serra Verde
11059-772 Abreu da Serra / MG",Terreno,446,1486072,4,6,Sim,Sim,Não,Sim,1076,2004,Aluguel,15/12/2019
875.412.390-97,"Residencial de Aparecida, 53
Canaa
97292-876 Viana do Galho / PI",Terreno,469,1832852,4,5,Sim,Sim,Não,Não,789,2005,Aluguel,21/01/2021
487.510.623-80,"Viela de Gonçalves, 6
Nova Floresta
35576839 Vasconcelos do Sul / RS",Terreno,141,668058,5,7,Sim,Sim,Sim,Sim,725,2021,Aluguel,23/03/2017
098.432.651-06,"Loteamento Emanuelly Moura, 42
Santa Rita
72236014 da Costa Verde / RN",Casa,447,1251600,2,3,Sim,Sim,Sim,Não,896,2021,Venda,15/05/2020
209.846.137-22,"Residencial Theo Borges, 83
Lorena
74157-341 Fonseca / RO",Apartamento,427,1360849,2,2,Não,Não,Sim,Não,644,1995,Venda,09/03/2024
374.609.215-99,"Morro Emilly Mendes, 8
Conjunto Celso Machado
27383260 Guerra das Flores / RR",Apartamento,441,1862784,1,2,Sim,Sim,Sim,Sim,914,2001,Venda,19/03/2026
105.748.693-01,"Alameda Liz Gomes, 55
Belmonte
32841-348 Vargas de da Rosa / RN",Apartamento,278,1145916,1,1,Não,Sim,Não,Não,1446,2007,Aluguel,02/06/2025
583.679.104-00,"Núcleo Luna Andrade, 5
Dom Bosco
75181-508 Correia do Sul / PA",Terreno,439,1120767,5,6,Não,Sim,Sim,Não,1543,2005,Aluguel,26/04/2018
321.659.840-33,"Fazenda de Ramos, 65
Nossa Senhora Da Aparecida
64927567 da Rocha / RS",Apartamento,98,197862,5,6,Não,Não,Não,Sim,715,1991,Aluguel,02/04/2024
657.481.329-82,"Condomínio Santos
Beira Linha
07061-755 Pimenta / MG",Casa,256,1101056,1,1,Sim,Sim,Não,Sim,660,2023,Venda,29/07/2024
753.048.162-26,"Parque de Ramos, 478
Sagrada Família
74724-775 Borges da Prata / MS",Terreno,314,1338582,3,5,Sim,Sim,Sim,Sim,1411,1981,Aluguel,05/07/2021
360.254.179-70,"Recanto Ana Laura Castro, 22
Funcionários
45050909 Teixeira da Mata / SC",Terreno,316,880376,5,6,Não,Sim,Não,Não,1953,2020,Aluguel,24/11/2023
045.672.839-29,"Vale de Teixeira, 978
São Benedito
95082-764 Barbosa / RJ",Terreno,349,873198,5,7,Sim,Sim,Não,Não,1301,2016,Aluguel,06/03/2019
478.106.352-71,"Condomínio Nina Rocha
Marieta 3ª Seção
11281-072 Duarte dos Dourados / RO",Apartamento,72,249696,1,3,Não,Não,Sim,Não,566,2017,Aluguel,25/10/2016
